"","Group","site","status","replicate","complexity","depth","x20","x30","x40","x45","x50","x55","x60","x65","x70","x75","x80","x85","x100","x110"
"118","M M K","Strickland East","Out",3,3,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"119","M M K","Strickland East","Out",4,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"120","M M K","Strickland East","Out",5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","M M K","Strickland East","Out",6,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","M M K","Strickland East","Out",7,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"123","M M K","Strickland East","Out",8,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","M M K","Strickland East","Out",9,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","M M K","Strickland East","Out",10,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","B J J","Green Island","In",1,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127","B J J","Green Island","In",2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128","B J J","Green Island","In",3,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"129","B J J","Green Island","In",4,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","B J J","Green Island","In",5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131","B J J","Green Island","In",6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132","B J J","Green Island","In",7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133","B J J","Green Island","In",8,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","B J J","Green Island","In",9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","B J J","Green Island","In",10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136","S C J","Salmon West","In",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","S C J","Salmon West","In",2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
